question,reponse1,reponse2,reponse3,reponse4
Quel animal fait "meuh" ?,Vache,Chien,Chat,Lion
Quel est le plus gros animal terrestre ?,Éléphant,Lion,Girafe,Tigre
De quelle couleur est le ciel ?,Bleu,Vert,Rouge,Jaune
Combien y a-t-il de lettres dans l'alphabet français ?,26,24,28,30
Quel est le plus petit pays du monde ?,Vatican,Monaco,Andorre,Luxembourg
Dans quelle ville se trouve la Tour Eiffel ?,Paris,Londres,Madrid,Berlin
Quel est le plus haut sommet du monde ?,Everest,Kilimandjaro,Denali,Aconcagua
Quelle est la capitale de la France ?,Paris,Berlin,Londres,Madrid
Quelle est la plus haute montagne du monde ?,Mont Blanc,Kilimandjaro,Mount Everest,Mont Denali
Dans quel pays se trouve la tour Eiffel ?,France,Royaume-Uni,Espagne,Italie
Quel est le plus grand océan du monde ?,Océan Pacifique,Océan Atlantique,Océan Indien,Océan Arctique
Quel est l'animal le plus rapide du monde ?,Guepard,Lion,Éléphant,Chien
Combien de planètes y a-t-il dans le système solaire ?,8,9,10,11
Quel est l'instrument de musique le plus populaire dans le monde ?,Guitare,Piano,Batterie,Flûte
Comment appelle-t-on le passage de l'état solide à l'état liquide ?,Fusion,Sublimation,Condensation,Évaporation
Quel est le plus grand mammifère terrestre ?,Éléphant,Rhinocéros,Hippopotame,Girafe
Quel est le plus grand pays du monde ?,Russie,Chine,États-Unis,Canada
Quelle est la capitale du Japon ?,Tokyo,Pékin,Séoul,Hanoï
Quel est le plus grand mammifère terrestre ?,L'éléphant,Le lion,Le tigre,Le rhinocéros
Quel est le plus grand reptile du monde ?,Le crocodile marin,Le varan du Nil,Le python réticulé,Le caïman noir
Quelle est la capitale de la France ?,Paris,Lyon,Marseille,Nice
Dans quel pays trouve-t-on le Taj Mahal ?,Inde,Pakistan,Bangladesh,Népal
Quelle est la plus grande île du monde ?,Le Groenland,L'Australie,La Nouvelle-Guinée,Bornéo
Qui a écrit Les Misérables ?,Victor Hugo,Gustave Flaubert,Honoré de Balzac,Émile Zola
Qui a peint La Joconde ?,Léonard de Vinci,Vincent van Gogh,Claude Monet,Pablo Picasso
Quelle est la plus haute montagne du monde ?,L'Everest,K2,Kangchenjunga,Lhotse
Quelle est la plus grande ville du monde ?,Tokyo,Djakarta,Delhi,Shanghai
Qui a écrit L'Odyssée ?,Homère,Virgile,Ovide,Cicéron